date,product,price,review_count,star_rating,cart_badge,in_stock,notes
2026-04-02,Micro Mini Beans 3-Pack (generic),9.97,3,4.7,50+,yes,1 written review Mar 3 — packaging damaged but product fine. Incentivized review flagged.
2026-04-02,Micro Mini Beans Bluey 6-Pack,24.97,7,4.1,100+,yes,2 written reviews — quality complaints on stuffing and packaging. 3P resellers at $34.95 suggest arbitrage demand. Bluey outselling generic 2:1 on cart badges despite 2.5x price.
